Database,Number of Entries,Number of Predicates,Predicate Density,Variable Predicate Ratio, Max Variable Size, Min Variable Size, Duplicate Ratio,Max Duplicate Ratio, Min Duplicate Ratio
iggp-coins-goal,742.0, 118.0,6.288135593220339, 0.4701257861635221,3.0,1.0,1.0,1.0,1.0
noisy-alzheimer_mem,628.0, 31.0,20.258064516129032, 0.4973460721868366,3.0,2.0,1.0,1.0,1.0
ptc,49495.0, 28.0,1767.6785714285713, 0.3336700676836044,3.0,1.0,1.0,1.0,1.0
iggp-attrition-next-score,132.0, 32.0,4.125, 0.5454545454545454,3.0,1.0,1.0,1.0,1.0
zendo2,4734.0, 16.0,295.875, 0.6643430502746092,2.0,1.0,1.0,1.0,1.0
iggp-horseshoe-next-cell,1462.0, 47.0,31.106382978723403, 0.3968308253533972,4.0,1.0,1.0,1.0,1.0
iggp-eight-puzzle-legal-move,5247.0, 88.0,59.625, 0.30064798932723463,4.0,1.0,1.0,1.0,1.0
random0,970.0, 6.0,161.66666666666666, 0.25,4.0,4.0,1.0,1.0,1.0
noisy-wn18rr3,85697.0, 10.0,8569.7, 0.5,2.0,2.0,1.0,1.0,1.0
zendo3,2343.0, 15.0,156.2, 0.6615450277422108,2.0,1.0,1.0,1.0,1.0
iggp-sheep-and-wolf-goal,32863.0, 27.0,1217.148148148148, 0.2543985637342908,5.0,1.0,1.0,1.0,1.0
random2,87.0, 6.0,14.5, 0.25,4.0,4.0,1.0,1.0,1.0
iggp-gt-chicken-goal,1813.0, 114.0,15.903508771929825, 0.5587424158852731,2.0,1.0,1.0,1.0,1.0
zendo1,906.0, 16.0,56.625, 0.6600441501103753,2.0,1.0,1.0,1.0,1.0
dunnhumby1,388.0, 3.0,129.33333333333334, 0.33333333333333326,3.0,3.0,1.0,1.0,1.0
imdb3neg,1330.0, 9.0,147.77777777777777, 0.6007518796992481,2.0,1.0,1.0,1.0,1.0
protein,4027.0, 44.0,91.52272727272727, 0.430731451590652,9.0,1.0,1.0,1.0,1.0
imdb1,1330.0, 9.0,147.77777777777777, 0.6007518796992481,2.0,1.0,1.0,1.0,1.0
suranim,4598.0, 182.0,25.263736263736263, 0.5012070465419748,5.0,1.0,1.0,1.0,1.0
iggp-polgrimage-goal,12907.0, 56.0,230.48214285714286, 0.2627695565713695,5.0,1.0,1.0,1.0,1.0
imdb1-toy,1330.0, 9.0,147.77777777777777, 0.6007518796992481,2.0,1.0,1.0,1.0,1.0
acetyl,628.0, 31.0,20.258064516129032, 0.4973460721868366,3.0,2.0,1.0,1.0,1.0
trains1-toy,7101.0, 4.0,1775.25, 0.7880580199971835,2.0,1.0,1.0,1.0,1.0
iggp-dont-touch-next-control,6713.0, 31.0,216.5483870967742, 0.2720591886389593,4.0,1.0,1.0,1.0,1.0
iggp-buttons-goal,215.0, 120.0,1.7916666666666667, 0.7744186046511627,2.0,1.0,1.0,1.0,1.0
imdb3-toy,143.0, 2.0,71.5, 0.5,2.0,2.0,1.0,1.0,1.0
